FIPS,Lifespan_Rank,Life_Quality_Rank,Health_Behaviors_Rank,Clinical_Care_Rank,Social_Economic_Factors_Rank,Physical_Environment_Rank,Lyme_Disease_Incidence_Reported,Population,%<18_Yrs_Old,%65_Yrs_Old_and_over,Income($),African_American(Count),African_American(%),American_Indian/Alaskan_Native(Count),American_Indian/Alaskan_Native(%),Asian(Count),Asian(%),Native_Hawaiian/Other_Pacific_Islander(Count),Native_Hawaiian/Other_Pacific_Islander(%),Hispanic(Count),Hispanic(%),Non-Hispanic_White(Count),Non-Hispanic_White(%),Female(%),Rural(Count),Rural(%),Life_Expectancy,Deaths(Count)
1001,8,5,15,14,5,50,1,55504,23.94,15.12,583.43,10687,19.25,264,0.48,710,1.28,58,0.1,1586,2.86,41336,74.47,51.34,22921,42,76.33,815
1003,3,4,3,4,3,62,0,212628,21.85,19.95,566.07,19037,8.95,1650,0.78,2459,1.16,146,0.07,9675,4.55,176582,83.05,51.45,77060,42.28,78.6,2827
1005,14,48,53,30,61,32,1,25270,20.76,18.82,324.9,12115,47.94,165,0.65,117,0.46,47,0.19,1063,4.21,11613,45.96,47.23,18613,67.79,75.78,451
1007,47,24,38,16,38,31,0,22668,20.61,16.02,457.95,4864,21.46,97,0.43,50,0.22,26,0.11,598,2.64,16842,74.3,46.45,15663,68.35,73.93,445
1009,36,14,10,41,15,53,0,58013,23.35,17.84,482.53,847,1.46,367,0.63,175,0.3,68,0.12,5549,9.57,50439,86.94,50.69,51562,89.95,74.6,1050
1011,53,58,65,62,64,24,0,10309,20.71,15.82,291.13,7130,69.16,87,0.84,20,0.19,80,0.78,850,8.25,2196,21.3,45.53,5607,51.37,73.12,205
1013,63,56,56,52,55,8,0,19825,22.73,19.56,368.42,8845,44.62,75,0.38,204,1.03,10,0.05,285,1.44,10229,51.6,53.43,14921,71.23,73.51,393
1015,55,10,28,34,27,41,3,114728,21.79,17.31,459.37,23852,20.79,607,0.53,1137,0.99,129,0.11,4302,3.75,82961,72.31,51.93,39955,33.7,73.1,2333
1017,42,53,57,25,37,46,2,33713,21.14,19.08,368.83,13313,39.49,100,0.3,421,1.25,15,0.04,822,2.44,18710,55.5,52.13,16816,49.15,74.12,691
1019,43,8,12,54,19,43,0,25857,19.71,22.62,448.42,1090,4.22,163,0.63,77,0.3,8,0.03,425,1.64,23707,91.69,50.32,22282,85.74,74.35,575
1021,32,22,18,46,29,27,1,44067,23.88,16.36,464.05,4442,10.08,241,0.55,220,0.5,76,0.17,3431,7.79,35335,80.18,50.83,37858,86.74,74.19,850
1023,52,45,35,19,52,3,0,12945,20.09,22.74,367.11,5389,41.63,23,0.18,19,0.15,0,0,126,0.97,7309,56.46,52.72,13859,100,74.28,273
